drugbank_id,half_life,half_life_unit,half_life_unit_mixed,half_life_n_records,half_life_hours
DB11760,90.0,hours,False,1,90.0
DB11763,4.0,hours,False,1,4.0
DB11767,0.0,days,False,2,0.0
DB11771,17.549999999999997,days,False,2,421.19999999999993
DB11791,6.5,hours,False,1,6.5
DB11793,36.0,hours,False,1,36.0
DB11796,11.0,hours,False,1,11.0
DB11799,17.3,hours,False,1,17.3
DB11800,57.5,days,True,2,103.5
DB11817,11.4,hours,False,2,11.4
DB11820,3.1,hours,False,3,3.1
DB11823,7.0,hours,False,1,7.0
DB11827,11.0,hours,False,1,11.0
DB11828,7.0,hours,False,1,7.0
DB11834,15.0,days,False,1,360.0
DB11837,4.0,hours,False,1,4.0
DB11842,0.0,minutes,False,1,0.0
DB11850,22.0,days,False,1,528.0
DB00208,10.25,hours,False,2,10.25
DB11855,22.3,hours,False,1,22.3
DB11859,9.0,hours,False,1,9.0
DB11866,12.8,days,False,1,307.20000000000005
DB11886,33.5,hours,False,1,33.5
DB11901,3.0,days,False,1,72.0
DB11915,15.0,hours,False,1,15.0
DB11921,1.1,hours,False,1,1.1
DB11928,21.0,minutes,False,1,0.35
DB11936,18.0,hours,False,2,18.0
DB11938,23.0,hours,False,1,23.0
DB11942,6.0,hours,False,1,6.0
DB11943,3.95,hours,False,2,3.95
DB11945,6.1,days,False,1,146.39999999999998
DB11951,18.0,hours,False,2,18.0
DB11952,5.2,hours,False,1,5.2
DB11963,70.0,hours,False,1,70.0
DB11967,3.5,hours,False,1,3.5
DB11973,50.0,hours,False,1,50.0
DB11976,3.3620000000000005,days,False,5,80.688
DB11978,17.4,hours,False,1,17.4
DB11979,4.0,hours,False,1,4.0
DB11986,20.0,hours,False,1,20.0
DB11988,26.0,days,False,1,624.0
DB11989,13.27,hours,False,1,13.27
DB11994,4.0,hours,False,1,4.0
DB11995,19.0,hours,False,1,19.0
DB12001,18.3,hours,False,1,18.3
DB12007,4.0,hours,False,1,4.0
DB12015,8.0,hours,False,1,8.0
DB12016,33.0,hours,False,1,33.0
DB12020,20.0,hours,False,2,20.0
DB12023,15.0,days,False,1,360.0
DB12026,33.0,hours,False,1,33.0
DB12034,21.0,days,False,1,504.0
DB12035,21.0,hours,False,1,21.0
DB12070,12.0,hours,False,1,12.0
DB12095,2.8,hours,False,2,2.8
DB12107,1.68,hours,False,1,1.68
DB12130,24.0,hours,False,1,24.0
DB12141,45.0,hours,False,1,45.0
DB12147,54.5,hours,False,2,54.5
DB12151,19.3,hours,False,1,19.3
DB12161,9.0,hours,False,1,9.0
DB12169,22.0,days,False,1,528.0
DB12184,5.0,hours,False,1,5.0
DB13881,16.8,days,False,1,403.20000000000005
DB16394,87.9,days,False,1,2109.6000000000004
DB01056,7.5,hours,False,2,7.5
DB00839,7.0,hours,False,1,7.0
DB12203,15.0,hours,False,1,15.0
DB12235,27.0,hours,False,1,27.0
DB12236,12.0,hours,False,1,12.0
DB12240,12.0,days,False,1,288.0
DB12243,4.5,hours,False,1,4.5
DB12245,8.0,hours,False,1,8.0
DB12249,6.0,hours,False,1,6.0
DB12250,178.5,hours,False,2,178.5
DB12255,9.2,hours,False,1,9.2
DB12265,15.0,hours,False,1,15.0
DB12267,25.0,hours,False,1,25.0
DB12274,24.8,days,False,1,595.2
DB12278,18.76666666666667,hours,False,3,18.76666666666667
DB00214,3.5,hours,False,1,3.5
DB12301,15.0,hours,False,1,15.0
